Repo Name,URL,Team Ownership,In Prod?,Has useful Readme?,Language(s),Version(s),Product Family,What is it?,GA vs Jenkins,GHAS Critical Vulnerabilities Count,Disposition,Last Update,"Criticality (if it goes down/stops is it P0,1,2, etc)",Alerting?/Monitoring,Unit Test Coverage %,Critical Path test cases (count),Critical Path coverage %,E2E Tests Count,E2E Test Coverage %,AWS Resource Tagging,On Mobius?,Needs Translations?,IC Owner,Status,EKS Deploy Ready,EKS Deploy Notes,Pre-Deploy Hook
api-node-ab-test-proxy,https://github.com/boatsgroup/api-node-ab-test-proxy,Optimus Prime,TRUE,Yes,JavaScript,Node 14,Marketplaces - Web,Acts as a proxy to handle A/B tests at the server request level. Uses lib-node-ab-test,Both,0,Keep,2025-11-18,P0,,,,,0,,,FALSE,,,,Yes,
api-node-ai-provider,https://github.com/boatsgroup/api-node-ai-provider,R&D,TRUE,Yes,"TypeScript, JavaScript, HCL, Shell, Dockerfile, Makefile",,Core,,GitHub Actions,0,Keep,2025-11-20,,,,,,4,,,FALSE,,,,Yes,
api-node-ai-summary,https://github.com/boatsgroup/api-node-ai-summary,FOX,TRUE,Yes,JavaScript/TypeScript,Node.js >=20,An API wrapper for OpenAI providing AI-powered summarization capabilities.,,GitHub Actions,0,Keep,2025-09-20,,,,,,3,,,FALSE,,,,Yes,
api-node-atvs,https://github.com/boatsgroup/api-node-atvs,Core Eng,TRUE,Yes,"JavaScript, HTML, TypeScript",20,Core,api for accessing atv listing data ,Github Actions,1,Keep,2025-11-17,,,,,,0,,,FALSE,,,,Yes,
api-node-boats,https://github.com/boatsgroup/api-node-boats,Core Eng,TRUE,No,"JavaScript, TypeScript, Dockerfile",20,Core,search api for boats for current opensearch,GitHub Actions,0,Keep,2025-11-20,,,,,,0,,,FALSE,,,,Yes,
api-node-bw-home,https://github.com/boatsgroup/api-node-bw-home,FOX,TRUE,Yes,JavaScript/TypeScript,Node.js >=20,BoatWizard component.,,GitHub Actions,2,Keep,2025-08-27,,,,,,0,,,FALSE,,,,Yes,
api-node-editorial,https://github.com/boatsgroup/api-node-editorial,Core Eng,TRUE,Yes,"TypeScript, JavaScript, Dockerfile",20,Core,"api for retrieveing editorial data from elastic, also seo text ",GitHub Actions,1,Replace/Retire,2025-11-21,,,,,,0,,,FALSE,,,,Yes,
api-node-engines,https://github.com/boatsgroup/api-node-engines,Core Eng,TRUE,No,"JavaScript, TypeScript, Shell",20,Core,api to get listings data,Github Actions,2,Upgrade framework,2025-04-17,,,,,,0,,,FALSE,,,,Yes,
api-node-external-search,https://github.com/boatsgroup/api-node-external-search,Core Eng,TRUE,Yes,"TypeScript, JavaScript, Dockerfile",20,Core,replacement for co-brokerage api access ,GitHub Actions,1,Keep,2025-11-19,,,,,,3,,,FALSE,,,,Yes,
api-node-forex,https://github.com/boatsgroup/api-node-forex,Core Eng,TRUE,No,"JavaScript, TypeScript",20,Core,api to access price conversions,Github Actions,1,Keep,2025-10-21,,,,,,0,,,FALSE,,,,Yes,
